member_id,dept_id,closure_start,novelty_pre_mean,novelty_pre_selected_for_heterogeneity,novelty_pre_high,novelty_pre_group,novelty_pre_split_rule,novelty_pre_threshold_low,novelty_pre_threshold_high
249251,46,2021-08-04,0.9,1,1,high,median_full_sample,0.5,0.5
249481,46,2021-08-04,0.39464285714285713,1,0,baseline,median_full_sample,0.5,0.5
251047,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
251051,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
251577,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
251828,46,2021-08-04,0.4375,1,0,baseline,median_full_sample,0.5,0.5
252825,46,2021-08-04,0.08333333333333333,1,0,baseline,median_full_sample,0.5,0.5
253553,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
258418,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
259414,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
260668,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
260825,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
260895,46,2021-08-04,0.25,1,0,baseline,median_full_sample,0.5,0.5
261074,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
262465,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
262691,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
262852,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
263255,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
267730,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
267970,46,2021-08-04,0.16666666666666666,1,0,baseline,median_full_sample,0.5,0.5
269437,46,2021-08-04,0.2222222222222222,1,0,baseline,median_full_sample,0.5,0.5
269726,46,2021-08-04,0.3125,1,0,baseline,median_full_sample,0.5,0.5
270495,46,2021-08-04,0.5,1,0,baseline,median_full_sample,0.5,0.5
271505,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
272461,46,2021-08-04,0.1125,1,0,baseline,median_full_sample,0.5,0.5
273418,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
273537,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
277671,46,2021-08-04,0.4583333333333333,1,0,baseline,median_full_sample,0.5,0.5
278285,46,2021-08-04,0.41666666666666663,1,0,baseline,median_full_sample,0.5,0.5
279137,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
280352,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
280572,46,2021-08-04,0.9166666666666666,1,1,high,median_full_sample,0.5,0.5
281284,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
282552,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
284374,46,2021-08-04,0.125,1,0,baseline,median_full_sample,0.5,0.5
284517,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
285004,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
285015,46,2021-08-04,0.3333333333333333,1,0,baseline,median_full_sample,0.5,0.5
285088,46,2021-08-04,0.0,1,0,baseline,median_full_sample,0.5,0.5
285175,46,2021-08-04,0.375,1,0,baseline,median_full_sample,0.5,0.5
285228,46,2021-08-04,1.0,1,1,high,median_full_sample,0.5,0.5
285399,46,2021-08-04,0.75,1,1,high,median_full_sample,0.5,0.5
