avg_order_value,total_spend,n_orders,avg_basket_size,unique_stores,coupon_usage_rate,avg_discount,weeks_active,order_per_week,push_group,active_period_num,avg_days_from_push,same_day_wakeup,used_deeper_discount,member_id,period_type
59.0,59.0,1,2.0,1,1.0,0.2,1.0,1.0,0,2,3.0,0,0,276706.0,active
29.0,29.0,1,1.0,1,1.0,0.2,1.0,1.0,0,2,5.0,0,0,288017.0,active
28.0,28.0,1,1.0,1,0.0,0.4,1.0,1.0,0,2,5.0,0,0,289774.0,active
32.0,64.0,2,1.0,1,0.0,0.25,2.2857142857142856,0.875,0,2,5.0,0,0,304474.0,active
57.5,115.0,2,2.0,2,1.0,0.42500000000000004,3.7142857142857144,0.5384615384615384,0,2,2.0,0,0,308293.0,active
46.5,93.0,2,1.5,1,0.5,0.32499999999999996,1.0,2.0,0,2,3.0,0,0,313136.0,active
31.0,31.0,1,1.0,1,0.0,0.3,1.0,1.0,0,2,0.0,1,0,316499.0,active
31.875,255.0,8,1.125,1,0.25,0.325,8.285714285714286,0.9655172413793103,0,2,2.0,0,0,319181.0,active
31.166666666666668,374.0,12,1.4166666666666667,6,1.0,0.25,10.428571428571429,1.1506849315068493,0,2,0.0,1,0,330815.0,active
31.636363636363637,696.0,22,1.0909090909090908,4,0.7727272727272727,0.2840909090909091,8.285714285714286,2.655172413793103,0,2,0.0,1,0,348185.0,active
29.0,58.0,2,1.0,1,1.0,0.225,1.0,2.0,0,2,0.0,1,0,360023.0,active
25.0,50.0,2,1.0,2,1.0,0.075,1.0,2.0,0,2,3.0,0,0,364592.0,active
39.333333333333336,590.0,15,1.3333333333333333,3,0.0,0.26666666666666666,15.571428571428571,0.963302752293578,0,2,2.0,0,0,380657.0,active
31.0,31.0,1,1.0,1,1.0,0.25,1.0,1.0,0,2,8.0,0,0,381268.0,active
28.0,84.0,3,1.0,1,0.6666666666666666,0.21666666666666667,5.857142857142857,0.5121951219512195,0,2,118.0,0,0,383281.0,active
38.0,38.0,1,1.0,1,1.0,0.2,1.0,1.0,0,2,3.0,0,0,386119.0,active
29.0,58.0,2,1.0,1,0.0,0.15,3.7142857142857144,0.5384615384615384,0,2,0.0,1,0,390663.0,active
44.4,444.0,10,1.5,5,0.0,0.28500000000000003,5.857142857142857,1.707317073170732,0,2,0.0,1,0,406506.0,active
35.0,70.0,2,1.0,1,1.0,0.225,3.0,0.6666666666666666,0,2,1.0,0,0,423421.0,active
31.454545454545453,346.0,11,1.0,2,0.6363636363636364,0.2590909090909091,16.285714285714285,0.6754385964912281,0,2,17.0,0,0,425618.0,active
58.0,58.0,1,2.0,1,0.0,0.3,1.0,1.0,0,2,35.0,0,0,427079.0,active
33.6,168.0,5,1.2,1,1.0,0.24,1.7142857142857142,2.916666666666667,0,2,2.0,0,0,429783.0,active
59.0,118.0,2,2.0,1,1.0,0.25,1.0,2.0,0,2,5.0,0,0,443388.0,active
28.0,56.0,2,1.0,2,0.5,0.2,1.0,2.0,0,2,0.0,1,0,448300.0,active
81.0,81.0,1,3.0,1,1.0,0.55,1.0,1.0,0,2,2.0,0,0,454165.0,active
35.0,35.0,1,1.0,1,1.0,0.2,1.0,1.0,0,2,4.0,0,0,479462.0,active
29.5,59.0,2,1.0,2,1.0,0.225,1.0,2.0,0,2,6.0,0,0,488595.0,active
29.5,177.0,6,1.0,1,1.0,0.24166666666666667,5.571428571428571,1.0769230769230769,0,2,60.0,0,0,492844.0,active
45.0,90.0,2,1.5,2,1.0,0.25,3.7142857142857144,0.5384615384615384,0,2,0.0,1,0,504777.0,active
28.0,28.0,1,1.0,1,1.0,0.25,1.0,1.0,0,2,14.0,0,0,509879.0,active
128.0,128.0,1,4.0,1,0.0,0.25,1.0,1.0,0,2,0.0,1,0,512059.0,active
29.0,58.0,2,1.0,2,0.5,0.175,3.857142857142857,0.5185185185185185,0,2,9.0,0,0,514568.0,active
