member_id,total_pushes,avg_push_discount,dormant_length,push_group,dormant_period_num,period_type
373529,10,,33,1,1,dormant
374901,21,,64,1,1,dormant
376790,14,,32,1,1,dormant
378053,8,,18,1,1,dormant
378267,6,,21,1,1,dormant
379739,124,,388,1,1,dormant
381441,86,,256,1,1,dormant
382475,2,,2,1,1,dormant
384430,9,,32,1,1,dormant
387431,5,,10,1,1,dormant
388315,47,,190,1,1,dormant
388678,2,,8,1,1,dormant
389648,31,,73,1,1,dormant
389684,9,,65,1,1,dormant
392004,89,,445,1,1,dormant
392605,2,,7,1,1,dormant
393022,13,,42,1,1,dormant
395173,12,,58,1,1,dormant
395436,123,,403,1,1,dormant
395810,7,,12,1,1,dormant
395916,3,,7,1,1,dormant
396700,117,,333,1,1,dormant
398762,22,,92,1,1,dormant
398900,55,,385,1,1,dormant
399590,41,,169,1,1,dormant
400264,30,,78,1,1,dormant
401252,16,,45,1,1,dormant
401361,11,,111,1,1,dormant
401470,11,,121,1,1,dormant
402137,5,,16,1,1,dormant
402884,11,,34,1,1,dormant
403853,120,,516,1,1,dormant
407730,79,,443,1,1,dormant
408616,3,,7,1,1,dormant
409745,16,,63,1,1,dormant
409933,77,,348,1,1,dormant
411079,1,,1,1,1,dormant
412719,2,,3,1,1,dormant
413318,2,,3,1,1,dormant
416403,18,,66,1,1,dormant
417566,43,,237,1,1,dormant
418362,8,,26,1,1,dormant
418897,11,,51,1,1,dormant
421214,146,,444,1,1,dormant
421398,24,,87,1,1,dormant
422482,135,,407,1,1,dormant
422640,42,,175,1,1,dormant
424812,121,,494,1,1,dormant
427094,45,,168,1,1,dormant
427537,61,,166,1,1,dormant
428485,79,,220,1,1,dormant
428577,158,,507,1,1,dormant
428845,9,,15,1,1,dormant
429734,40,,118,1,1,dormant
430947,4,,27,1,1,dormant
431739,4,,3,1,1,dormant
434311,8,,24,1,1,dormant
436249,141,,440,1,1,dormant
437733,11,,30,1,1,dormant
438435,1,,1,1,1,dormant
439243,15,,41,1,1,dormant
439449,104,,308,1,1,dormant
439808,2,,1,1,1,dormant
440137,10,,22,1,1,dormant
441683,14,,75,1,1,dormant
442978,10,,50,1,1,dormant
444833,19,,169,1,1,dormant
445170,33,,143,1,1,dormant
445190,117,,285,1,1,dormant
445498,65,,411,1,1,dormant
445799,4,,10,1,1,dormant
446535,112,,443,1,1,dormant
446647,1,,1,1,1,dormant
447448,62,,271,1,1,dormant
447820,1,,1,1,1,dormant
448139,67,,168,1,1,dormant
448785,51,,103,1,1,dormant
449284,97,,272,1,1,dormant
450220,11,,24,1,1,dormant
451553,43,,149,1,1,dormant
451853,115,,341,1,1,dormant
452619,21,,64,1,1,dormant
453428,138,,514,1,1,dormant
453897,16,,45,1,1,dormant
456589,64,,147,1,1,dormant
456834,4,,7,1,1,dormant
