treated,match_cell,blocked_available,non_blocked_available,retained_per_group,common_support,episodes_before,episodes_after,blocked_retained,non_blocked_retained,treated_retained,control_retained
1,"1|(0.999, 3616.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]",21,199,21,1,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(3616.0, 7231.0]",1,1,1,1,,,,,,
1,"1|(10846.0, 14461.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",34,8,8,1,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]",1,18,1,1,,,,,,
1,"1|(0.999, 3616.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]",10,71,10,1,,,,,,
1,"1|(10846.0, 14461.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",5,3,3,1,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(3616.0, 7231.0]",0,1,0,0,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",7,9,7,1,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",12,19,12,1,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]",2,10,2,1,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",5,16,5,1,,,,,,
1,"1|(7231.0, 10846.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]",22,5,5,1,,,,,,
1,"1|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",4,6,4,1,,,,,,
1,"1|(10846.0, 14461.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",39,9,9,1,,,,,,
1,"1|(7231.0, 10846.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(0.999, 3616.0]",4,1,1,1,,,,,,
1,"1|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",11,17,11,1,,,,,,
1,"1|(7231.0, 10846.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]",3,9,3,1,,,,,,
1,"1|(0.999, 3616.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(0.999, 3616.0]",6,28,6,1,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(0.999, 3616.0]",0,4,0,0,,,,,,
1,"1|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",11,8,8,1,,,,,,
1,"1|(0.999, 3616.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(0.999, 3616.0]",3,11,3,1,,,,,,
1,"1|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]",1,1,1,1,,,,,,
1,"1|(7231.0, 10846.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",37,11,11,1,,,,,,
1,"1|(10846.0, 14461.0]|(0.999, 3616.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",10,0,0,0,,,,,,
1,"1|(10846.0, 14461.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(10846.0, 14461.0]",19,7,7,1,,,,,,
1,"1|(7231.0, 10846.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]",10,9,9,1,,,,,,
1,"1|(10846.0, 14461.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]",184,24,24,1,,,,,,
1,"1|(7231.0, 10846.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(7231.0, 10846.0]",2,28,2,1,,,,,,
1,"1|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",0,1,0,0,,,,,,
1,"1|(0.999, 3616.0]|(7231.0, 10846.0]|(0.999, 3616.0]|(0.999, 3616.0]",4,19,4,1,,,,,,
1,"1|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(0.999, 3616.0]",0,2,0,0,,,,,,
1,"1|(10846.0, 14461.0]|(10846.0, 14461.0]|(3616.0, 7231.0]|(0.999, 3616.0]",0,1,0,0,,,,,,
1,"1|(7231.0, 10846.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(10846.0, 14461.0]",8,1,1,1,,,,,,
1,"1|(10846.0, 14461.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",2,1,1,1,,,,,,
1,"1|(0.999, 3616.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",5,1,1,1,,,,,,
1,"1|(0.999, 3616.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",8,8,8,1,,,,,,
1,"1|(3616.0, 7231.0]|(7231.0, 10846.0]|(3616.0, 7231.0]|(10846.0, 14461.0]",3,5,3,1,,,,,,
1,"1|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]|(0.999, 3616.0]",2,5,2,1,,,,,,
1,"1|(3616.0, 7231.0]|(0.999, 3616.0]|(7231.0, 10846.0]|(7231.0, 10846.0]",9,4,4,1,,,,,,
1,"1|(3616.0, 7231.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(10846.0, 14461.0]",1,2,1,1,,,,,,
1,"1|(7231.0, 10846.0]|(10846.0, 14461.0]|(0.999, 3616.0]|(7231.0, 10846.0]",12,52,12,1,,,,,,
1,"1|(3616.0, 7231.0]|(0.999, 3616.0]|(10846.0, 14461.0]|(7231.0, 10846.0]",6,10,6,1,,,,,,
