event_fe_id,rel_t_history,product_window_choices,new_product_window_choices,window_novelty
1664|133|2021-07-28,-9,2,1,0.5
1664|133|2021-07-28,-6,1,1,1.0
1664|133|2021-07-28,-3,1,1,1.0
1667|19|2021-07-15,-9,1,1,1.0
1667|19|2021-07-15,-7,1,0,0.0
1667|19|2021-07-15,-6,1,1,1.0
1667|19|2021-07-15,-5,1,1,1.0
1667|19|2021-07-15,-3,1,1,1.0
1667|19|2021-07-15,-2,1,0,0.0
1667|19|2021-07-15,-1,3,2,0.6666666666666666
1671|19|2021-07-15,-11,2,1,0.5
1723|59|2021-08-03,-6,1,0,0.0
1723|59|2021-08-03,-4,2,2,1.0
1733|124|2021-07-22,-12,3,3,1.0
1733|124|2021-07-22,-11,1,1,1.0
1733|124|2021-07-22,-10,1,1,1.0
1780|133|2021-07-28,-12,2,2,1.0
1780|133|2021-07-28,-11,2,2,1.0
1780|133|2021-07-28,-10,1,1,1.0
1780|133|2021-07-28,-8,2,1,0.5
1780|133|2021-07-28,-6,2,0,0.0
1780|133|2021-07-28,-5,2,1,0.5
1780|133|2021-07-28,-4,1,0,0.0
1780|133|2021-07-28,-2,1,0,0.0
1780|133|2021-07-28,-1,2,0,0.0
1790|124|2021-07-22,-10,2,2,1.0
1790|124|2021-07-22,-9,1,0,0.0
1790|124|2021-07-22,-8,3,2,0.6666666666666666
1790|124|2021-07-22,-6,3,3,1.0
1790|124|2021-07-22,-1,1,1,1.0
1795|131|2021-08-29,-12,1,0,0.0
1795|131|2021-08-29,-4,3,2,0.6666666666666666
1795|131|2021-08-29,-3,1,0,0.0
1795|131|2021-08-29,-1,1,0,0.0
1808|124|2021-07-22,-10,1,1,1.0
1808|124|2021-07-22,-9,2,2,1.0
1808|124|2021-07-22,-8,1,1,1.0
1808|124|2021-07-22,-4,1,1,1.0
1808|124|2021-07-22,-2,1,1,1.0
1808|124|2021-07-22,-1,3,2,0.6666666666666666
1873|59|2021-08-03,-12,2,0,0.0
1873|59|2021-08-03,-10,1,0,0.0
1873|59|2021-08-03,-7,4,3,0.75
1873|59|2021-08-03,-6,1,0,0.0
1873|59|2021-08-03,-5,3,1,0.3333333333333333
1873|59|2021-08-03,-4,3,1,0.3333333333333333
1873|59|2021-08-03,-3,2,0,0.0
1873|59|2021-08-03,-2,1,0,0.0
1873|59|2021-08-03,-1,6,3,0.5
1932|124|2021-07-22,-12,2,2,1.0
1932|124|2021-07-22,-2,1,0,0.0
1932|124|2021-07-22,-1,3,2,0.6666666666666666
1936|133|2021-07-28,-11,2,2,1.0
1936|133|2021-07-28,-6,3,3,1.0
1936|133|2021-07-28,-5,4,2,0.5
1936|133|2021-07-28,-3,1,0,0.0
1950|59|2021-08-03,-12,1,1,1.0
1950|59|2021-08-03,-9,1,1,1.0
1950|59|2021-08-03,-7,2,2,1.0
1950|59|2021-08-03,-6,2,2,1.0
1950|59|2021-08-03,-4,1,1,1.0
1950|59|2021-08-03,-2,1,1,1.0
1976|238|2021-07-24,-11,1,0,0.0
1976|238|2021-07-24,-4,1,1,1.0
1980|59|2021-08-03,-12,2,1,0.5
1980|59|2021-08-03,-11,1,0,0.0
1980|59|2021-08-03,-8,1,1,1.0
1980|59|2021-08-03,-7,1,1,1.0
1980|59|2021-08-03,-5,1,0,0.0
1980|59|2021-08-03,-2,2,1,0.5
1980|59|2021-08-03,-1,1,0,0.0
1992|59|2021-08-03,-8,1,1,1.0
1992|59|2021-08-03,-2,1,1,1.0
1996|46|2021-08-04,-11,1,0,0.0
1996|46|2021-08-04,-4,1,1,1.0
2006|220|2021-08-03,-10,1,0,0.0
2006|220|2021-08-03,-9,1,0,0.0
2006|220|2021-08-03,-8,1,0,0.0
2006|220|2021-08-03,-7,2,1,0.5
2006|220|2021-08-03,-6,1,0,0.0
2006|220|2021-08-03,-5,2,1,0.5
2006|220|2021-08-03,-3,1,0,0.0
2006|220|2021-08-03,-2,1,0,0.0
2006|220|2021-08-03,-1,1,0,0.0
2034|59|2021-08-03,-12,1,0,0.0
2034|59|2021-08-03,-11,1,1,1.0
2034|59|2021-08-03,-8,3,3,1.0
2034|59|2021-08-03,-7,2,1,0.5
2034|59|2021-08-03,-5,1,1,1.0
2034|59|2021-08-03,-4,2,1,0.5
2034|59|2021-08-03,-2,2,1,0.5
2034|59|2021-08-03,-1,1,1,1.0
2043|47|2021-07-30,-12,2,2,1.0
2043|47|2021-07-30,-9,2,2,1.0
2043|47|2021-07-30,-8,2,0,0.0
2043|47|2021-07-30,-7,2,0,0.0
2043|47|2021-07-30,-6,4,2,0.5
2043|47|2021-07-30,-4,3,2,0.6666666666666666
2043|47|2021-07-30,-3,1,1,1.0
2060|19|2021-07-15,-10,3,2,0.6666666666666666
2060|19|2021-07-15,-8,1,1,1.0
2060|19|2021-07-15,-6,1,1,1.0
2060|19|2021-07-15,-5,3,2,0.6666666666666666
2060|19|2021-07-15,-4,2,1,0.5
2077|46|2021-08-04,-3,1,1,1.0
2077|46|2021-08-04,-2,2,1,0.5
2138|59|2021-08-03,-12,1,0,0.0
2173|47|2021-07-30,-5,2,2,1.0
2173|47|2021-07-30,-4,1,1,1.0
2203|47|2021-07-30,-9,3,1,0.3333333333333333
2203|47|2021-07-30,-8,1,1,1.0
2203|47|2021-07-30,-5,4,3,0.75
2204|182|2021-08-03,-12,1,0,0.0
2204|182|2021-08-03,-7,4,4,1.0
2204|182|2021-08-03,-6,3,1,0.3333333333333333
2204|182|2021-08-03,-5,1,0,0.0
2204|182|2021-08-03,-4,1,1,1.0
2204|182|2021-08-03,-3,2,2,1.0
2204|182|2021-08-03,-2,1,1,1.0
2247|5|2021-08-18,-7,1,0,0.0
2247|5|2021-08-18,-4,1,0,0.0
2247|5|2021-08-18,-2,5,4,0.8
2247|5|2021-08-18,-1,5,2,0.4
2252|133|2021-07-28,-9,1,1,1.0
2252|133|2021-07-28,-8,3,3,1.0
2252|133|2021-07-28,-5,1,0,0.0
2264|182|2021-08-03,-12,1,0,0.0
2264|182|2021-08-03,-11,1,1,1.0
2264|182|2021-08-03,-5,1,1,1.0
2264|182|2021-08-03,-4,2,2,1.0
2264|182|2021-08-03,-3,1,0,0.0
2264|182|2021-08-03,-2,1,0,0.0
2295|8|2021-05-27,-11,1,0,0.0
2295|8|2021-05-27,-10,1,1,1.0
2295|8|2021-05-27,-9,1,1,1.0
2295|8|2021-05-27,-5,1,0,0.0
2295|8|2021-05-27,-3,2,2,1.0
2295|8|2021-05-27,-2,1,0,0.0
2295|8|2021-05-27,-1,1,0,0.0
2307|59|2021-08-03,-12,4,3,0.75
2307|59|2021-08-03,-11,3,0,0.0
2307|59|2021-08-03,-10,2,1,0.5
2307|59|2021-08-03,-9,6,1,0.16666666666666666
2307|59|2021-08-03,-8,4,1,0.25
2307|59|2021-08-03,-7,1,0,0.0
2307|59|2021-08-03,-6,1,0,0.0
2307|59|2021-08-03,-5,5,4,0.8
2307|59|2021-08-03,-4,2,0,0.0
2307|59|2021-08-03,-3,3,1,0.3333333333333333
2307|59|2021-08-03,-2,1,0,0.0
2324|19|2021-07-15,-5,2,1,0.5
2352|46|2021-08-04,-3,1,1,1.0
2352|46|2021-08-04,-2,3,3,1.0
2357|121|2021-08-03,-12,2,1,0.5
2357|121|2021-08-03,-10,1,1,1.0
2359|121|2021-08-03,-8,1,1,1.0
2359|121|2021-08-03,-5,1,1,1.0
2359|121|2021-08-03,-4,1,1,1.0
2359|121|2021-08-03,-3,1,0,0.0
2359|121|2021-08-03,-2,1,0,0.0
2363|46|2021-08-04,-9,1,0,0.0
2363|46|2021-08-04,-8,1,1,1.0
2363|46|2021-08-04,-7,1,1,1.0
2363|46|2021-08-04,-5,1,0,0.0
2370|121|2021-08-03,-12,2,1,0.5
2370|121|2021-08-03,-11,3,2,0.6666666666666666
2370|121|2021-08-03,-8,2,0,0.0
