spec,row_term,column_term,covariance
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p2_X_disp_X_density,-4.084622137086322e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p2_X_treated_X_disp_X_density,-3.396976921176755e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p3_X_treated,0.00017649557953604332
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p3_X_disp,-1.0445693128888004e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p3_X_treated_X_disp,-0.00022820776392615036
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p3_X_density,-3.452994525990224e-07
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p3_X_treated_X_density,0.0002444650664104009
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p3_X_disp_X_density,8.832543079409408e-06
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p3_X_treated_X_disp_X_density,-0.0005602707832313912
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p4_X_treated,2.2522549557959643e-06
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p4_X_disp,-6.033703327514207e-05
raw_500m_density_interacted_event_study,rel_m4_X_treated,rel_p4_X_treated_X_disp,7.641520656080463e-05
