evaluation_slice,closure_event_id,closure_duration_days,n,n_positive,n_negative,prevalence,mean_predicted_probability,always_negative_accuracy,threshold,predicted_positive_share,tn,fp,fn,tp,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,f1,roc_auc,pr_auc,average_precision,brier_score,constant_prevalence_brier,brier_skill_score,calibration_intercept,calibration_slope
control_period_0,dept_3_closure_2021-08-09,14,799,131,668,0.1639549436795995,0.19581127703282078,0.8360450563204005,0.5,0.1251564455569462,635,33,64,67,0.8785982478097623,0.5114503816793893,0.9505988023952096,0.04940119760479042,0.48854961832061067,0.67,0.9084406294706724,0.5800865800865801,0.8580929743566302,0.6268341231263933,0.6283165286796899,0.09475083419255287,0.13707372012261887,0.3087600299474341,-0.41058954033352013,0.908690968421262
control_period_0,dept_44_closure_2021-07-24,13,1197,286,911,0.23893065998329155,0.30224577444116574,0.7610693400167085,0.5,0.27903091060985796,738,173,125,161,0.7510442773600668,0.5629370629370629,0.8100987925356751,0.18990120746432493,0.4370629370629371,0.4820359281437126,0.8551564310544612,0.5193548387096775,0.7961319690189065,0.5600986430637678,0.5628743198983546,0.17304422181940088,0.18184279970324027,0.048385627026191314,-0.748745395458528,0.42011110229393606
control_period_0,dept_46_closure_2021-08-04,16,2416,726,1690,0.30049668874172186,0.3035923686314627,0.6995033112582781,0.5,0.27607615894039733,1432,258,317,409,0.7620033112582781,0.5633608815426997,0.8473372781065088,0.15266272189349112,0.4366391184573003,0.6131934032983508,0.8187535734705546,0.5872218234027279,0.7936158247347059,0.6459871476068236,0.6466345701605146,0.17621770530695813,0.21019842879698258,0.16166021641790818,-0.35644579087440525,0.44824515582810315
control_period_0,dept_47_closure_2021-07-30,12,3164,621,2543,0.19627054361567636,0.2560626420666471,0.8037294563843236,0.5,0.22629582806573956,2153,390,295,326,0.7835018963337548,0.5249597423510467,0.8466378293354306,0.15336217066456942,0.4750402576489533,0.4553072625698324,0.8794934640522876,0.487658937920718,0.7863637543748335,0.5083162559709911,0.508828315688609,0.15350486932459984,0.15774841732448325,0.02690073264668369,-0.8375030424832979,0.4320797389679389
control_period_0,dept_59_closure_2021-08-03,17,2783,847,1936,0.30434782608695654,0.3524294585579405,0.6956521739130435,0.5,0.3413582464965864,1521,415,312,535,0.7387711103126123,0.6316410861865407,0.7856404958677686,0.2143595041322314,0.36835891381345925,0.5631578947368421,0.8297872340425532,0.5954368391764051,0.7890000683013455,0.6269701502845271,0.6273835448155625,0.1830165699225854,0.21172022684310018,0.13557352241921716,-0.49860434316930374,0.4783045920745602
control_period_0,dept_5_closure_2021-08-18,14,2013,574,1439,0.2851465474416294,0.23030198753013745,0.7148534525583705,0.5,0.16393442622950818,1336,103,347,227,0.7764530551415797,0.39547038327526135,0.9284225156358582,0.07157748436414177,0.6045296167247387,0.6878787878787879,0.7938205585264408,0.5022123893805309,0.7986818178516343,0.6450497027351958,0.6454320357282941,0.15875193631336046,0.203837993923748,0.22118574041330774,0.06564093985607478,0.654476735339388
control_period_0,dept_62_closure_2021-08-04,14,2420,496,1924,0.2049586776859504,0.27344224049643834,0.7950413223140496,0.5,0.21611570247933884,1634,290,263,233,0.7714876033057851,0.46975806451612906,0.8492723492723493,0.15072765072765074,0.530241935483871,0.44550669216061184,0.8613600421718502,0.4573110893032385,0.7578402689289786,0.48790455744381717,0.4885474956385449,0.1567660106724671,0.1629506181271771,0.037953875387469416,-0.8134256878666842,0.5224993302371498
control_period_0,dept_8_closure_2021-05-27,15,551,207,344,0.37568058076225047,0.3265153559512628,0.6243194192377495,0.5,0.2831215970961887,293,51,102,105,0.7223230490018149,0.5072463768115942,0.8517441860465116,0.14825581395348839,0.4927536231884058,0.6730769230769231,0.7417721518987341,0.5785123966942148,0.754128749578699,0.6859631079120916,0.6869188821515247,0.21038751178953757,0.23454468200038864,0.10299602619346981,-0.09791361666992184,0.373940209769594
control_pre_t-1,dept_121_closure_2021-08-03,18,1807,472,1335,0.2612064194798008,0.33283173656282594,0.7387935805201993,0.5,0.2894299944659657,1094,241,190,282,0.7614831211953514,0.597457627118644,0.8194756554307117,0.1805243445692884,0.4025423728813559,0.5391969407265774,0.8520249221183801,0.5668341708542713,0.8066273090839841,0.6022425916445817,0.60387685421911,0.16575988566975378,0.19297762590234316,0.14104091137675723,-0.7140874889796394,0.5199439013602004
control_pre_t-1,dept_124_closure_2021-07-22,28,1891,862,1029,0.4558434690639873,0.43444853271891926,0.5441565309360127,0.5,0.4262295081967213,800,229,285,577,0.7281861448968799,0.6693735498839907,0.7774538386783285,0.22254616132167152,0.3306264501160093,0.7158808933002482,0.7373271889400922,0.6918465227817746,0.8044460077700288,0.780300553557586,0.780483551305823,0.19409008573524092,0.24805020077569695,0.2175370746393802,0.00026627278647203926,0.480829007252356
